industry_id,num_firms,dividends,buybacks,equity_issuance,net_equity_change_usd,net_equity_change_pct_book_equity,debt_repaid,debt_raised,net_debt_change_usd,net_debt_change_pct_total_debt,change_in_lease_debt,vintage_id,region_id
29,114,2212.1769999999997,6237.197999999998,2275.7029999999995,-3961.494999999998,-0.04490689224574485,12867.989000000001,16226.596999999998,3358.6079999999965,0.06421606833402425,550.289000000008,1,1
30,48,826.9089999999999,2937.4450000000006,925.461,-2011.9840000000006,-0.05297269070208411,64526.310000000005,66191.485,1665.1749999999956,0.05117380525640794,2889.4700000000084,1,1
31,92,2622.463,16479.602000000003,3534.4109999999996,-12945.191000000003,-0.06880909275701995,48328.53600000001,40024.11600000001,-8304.419999999998,-0.06033707932518742,-1730.1800000000076,1,1
32,53,2582.174,1412.1580000000001,227.195,-1184.9630000000002,-0.036052718082551324,63606.14200000001,69923.065,6316.922999999995,0.12807317010566674,1469.654999999997,1,1
33,35,3604.14,2897.1160000000004,110.209,-2786.9070000000006,-0.038583296460850854,25764.448999999997,25463.509000000002,-300.93999999999505,-0.002938306843202744,1547.9020000000055,1,1
34,176,24037.584000000006,83109.32799999996,7511.204000000002,-75598.12399999997,-0.16788443978531342,2266325.737999999,2119917.7350000003,-146408.00299999863,-0.01765222356422223,65328.71400000001,1,1
35,78,11627.099999999999,6907.679000000001,499.75600000000003,-6407.923000000001,-0.03631330334019423,24614.601000000006,22526.263000000003,-2088.3380000000034,-0.01668709706144316,-2184.7590000000127,1,1
36,13,1034.7,2222.866,214.171,-2008.695,-0.13467968656237073,17401.359000000004,18998.426,1597.0669999999955,0.05410204885044051,610.3000000000029,1,1
37,27,640.236,511.79299999999995,79.49900000000001,-432.2939999999999,-0.02268576054398721,17043.671,18793.43,1749.7590000000018,0.09371721621531158,-25.1299999999992,1,1
38,15,45.1,3.245,3.1319999999999997,-0.11300000000000043,-1.1934831594773435e-05,6542.902,7220.794,677.8919999999998,0.025396970497917993,-42.55000000000001,1,1
40,204,9780.43,11848.443,4898.116999999998,-6950.326000000001,-0.02851885446292101,51155.44800000004,42258.62800000002,-8896.820000000022,-0.05897380728463965,1509.7270000000208,1,1
41,104,16728.049,31564.09700000001,3439.645,-28124.45200000001,-0.08210513865219689,183483.09100000004,202433.66100000005,18950.570000000007,0.06023511859949247,-907.7700000000332,1,1
39,115,1927.9700000000003,16080.893,1781.971,-14298.922,-0.07994409976590544,21633.743999999995,18430.496000000006,-3203.2479999999887,-0.030153253553857107,325.20200000000295,1,1
42,30,1533.8899999999999,10708.947000000004,220.708,-10488.239000000003,-0.09314684672515212,23681.595999999998,26191.730000000003,2510.1340000000055,0.06717946933728731,-742.1040000000016,1,1
43,31,988.3822000000001,11654.4,105.23499999999997,-11549.164999999999,-0.5545383482589359,21034.767999999993,22463.720999999998,1428.953000000005,0.015493391964830168,1442.268000000011,1,1
44,63,4468.045,27711.835000000006,4552.354999999999,-23159.480000000007,-0.4300258275671723,68244.70599999998,76164.37499999997,7919.668999999994,0.03216376723569224,-4231.184999999976,1,1
45,110,16754.746,10105.213,1655.9540000000004,-8449.259,-0.09163335465956834,24184.135000000002,22639.44700000001,-1544.687999999991,-0.01599065981689254,-118.83899999998539,1,1
46,15,847.7,2690.67,540.4499999999999,-2150.2200000000003,-0.12157133245509391,7575.0,6454.1,-1120.8999999999996,-0.05351246889698145,749.300000000002,1,1
47,21,2582.1079999999997,1428.6740000000002,14607.614999999998,13178.940999999997,0.35667788208331747,6395.869999999999,24774.860000000004,18378.990000000005,0.3784725113776572,-144.07000000000153,1,1
48,20,6322.820000000001,11390.383,1525.9,-9864.483,-0.06749759315532378,7661.768999999999,12074.1,4412.331000000001,0.0287123739616785,-197.5,1,1
49,57,10949.780999999994,15072.981000000003,1438.9099999999996,-13634.071000000004,-0.05239743334619247,45915.931000000004,47858.502000000015,1942.5710000000108,0.023311773001527866,29.385999999998603,1,1
50,283,21514.293000000005,17220.66099999999,12772.376999999999,-4448.283999999991,-0.019123010502569832,79759.66199999995,99512.04499999995,19752.383,0.06802089655643805,131.55199999999968,1,1
51,105,6954.040999999999,11778.496000000003,1381.6029999999998,-10396.893000000004,-0.08207338302719815,25939.720999999994,25974.816999999985,35.095999999990454,0.00041857433386279413,844.2370000000046,1,1
52,73,3335.5,162.16799999999998,1603.1440000000002,1440.9760000000003,0.039973911386987186,7914.945000000001,7583.46,-331.4850000000006,-0.014109769267378714,181.25900000000092,1,1
53,14,341.1599999999999,559.61,20.184,-539.426,-0.12004122240314329,4105.4710000000005,4058.4,-47.07100000000037,-0.00828256914311461,-49.6569999999997,1,1
54,4,30447.488,34098.78,983.002,-33115.778,-0.07335677268795363,14940.0,14082.0,-858.0,-0.00809113370174082,6625.0,1,1
55,142,14786.459980000001,16592.153,5806.659999999999,-10785.492999999999,-0.03714092663102793,86469.46499999998,95258.89700000001,8789.43200000003,0.05070395570003909,8601.216,1,1
56,23,9873.14,3754.476999999999,2484.4999999999995,-1269.9769999999994,-0.0161056743119024,141587.621,151299.16999999998,9711.54899999997,0.05748348714293561,2340.9000000000005,1,1
57,97,9182.870000000003,14367.622999999996,1606.4249999999995,-12761.197999999997,-0.07218130440572205,70643.79800000002,77409.82500000003,6766.027000000002,0.0532370147445013,5011.488000000027,1,1
